DX,BODY_SYSTEM,ICD
01352,pulmonary_respiratory,9
01353,pulmonary_respiratory,9
01354,pulmonary_respiratory,9
01355,pulmonary_respiratory,9
01356,pulmonary_respiratory,9
0136,pulmonary_respiratory,9
01360,pulmonary_respiratory,9
01361,pulmonary_respiratory,9
01362,pulmonary_respiratory,9
01363,pulmonary_respiratory,9
01364,pulmonary_respiratory,9
01365,pulmonary_respiratory,9
01366,pulmonary_respiratory,9
0138,pulmonary_respiratory,9
01380,pulmonary_respiratory,9
01381,pulmonary_respiratory,9
01382,pulmonary_respiratory,9
01383,pulmonary_respiratory,9
01384,pulmonary_respiratory,9
01385,pulmonary_respiratory,9
01386,pulmonary_respiratory,9
0139,pulmonary_respiratory,9
01390,pulmonary_respiratory,9
01391,pulmonary_respiratory,9
01392,pulmonary_respiratory,9
01393,pulmonary_respiratory,9
01394,pulmonary_respiratory,9
01395,pulmonary_respiratory,9
01396,pulmonary_respiratory,9
014,pulmonary_respiratory,9
0140,pulmonary_respiratory,9
01400,pulmonary_respiratory,9
01401,pulmonary_respiratory,9
01402,pulmonary_respiratory,9
01403,pulmonary_respiratory,9
01404,pulmonary_respiratory,9
01405,pulmonary_respiratory,9
01406,pulmonary_respiratory,9
0148,pulmonary_respiratory,9
01480,pulmonary_respiratory,9
01481,pulmonary_respiratory,9
01482,pulmonary_respiratory,9
01483,pulmonary_respiratory,9
01484,pulmonary_respiratory,9
01485,pulmonary_respiratory,9
01486,pulmonary_respiratory,9
015,pulmonary_respiratory,9
0150,pulmonary_respiratory,9
01500,pulmonary_respiratory,9
01501,pulmonary_respiratory,9
01502,pulmonary_respiratory,9
01503,pulmonary_respiratory,9
01504,pulmonary_respiratory,9
01505,pulmonary_respiratory,9
01506,pulmonary_respiratory,9
0151,pulmonary_respiratory,9
01510,pulmonary_respiratory,9
01511,pulmonary_respiratory,9
01512,pulmonary_respiratory,9
01513,pulmonary_respiratory,9
01514,pulmonary_respiratory,9
01515,pulmonary_respiratory,9
01516,pulmonary_respiratory,9
0152,pulmonary_respiratory,9
01520,pulmonary_respiratory,9
01521,pulmonary_respiratory,9
01522,pulmonary_respiratory,9
01523,pulmonary_respiratory,9
01524,pulmonary_respiratory,9
01525,pulmonary_respiratory,9
01526,pulmonary_respiratory,9
0155,pulmonary_respiratory,9
01550,pulmonary_respiratory,9
01551,pulmonary_respiratory,9
01552,pulmonary_respiratory,9
01553,pulmonary_respiratory,9
01554,pulmonary_respiratory,9
01555,pulmonary_respiratory,9
01556,pulmonary_respiratory,9
0156,pulmonary_respiratory,9
01560,pulmonary_respiratory,9
01561,pulmonary_respiratory,9
01562,pulmonary_respiratory,9
01563,pulmonary_respiratory,9
01564,pulmonary_respiratory,9
01565,pulmonary_respiratory,9
01566,pulmonary_respiratory,9
0157,pulmonary_respiratory,9
01570,pulmonary_respiratory,9
01571,pulmonary_respiratory,9
01572,pulmonary_respiratory,9
01573,pulmonary_respiratory,9
01574,pulmonary_respiratory,9
01575,pulmonary_respiratory,9
01576,pulmonary_respiratory,9
0158,pulmonary_respiratory,9
01580,pulmonary_respiratory,9
01581,pulmonary_respiratory,9
01582,pulmonary_respiratory,9
01583,pulmonary_respiratory,9
01584,pulmonary_respiratory,9
01585,pulmonary_respiratory,9
01586,pulmonary_respiratory,9
0159,pulmonary_respiratory,9
01590,pulmonary_respiratory,9
01591,pulmonary_respiratory,9
01592,pulmonary_respiratory,9
01593,pulmonary_respiratory,9
01594,pulmonary_respiratory,9
01595,pulmonary_respiratory,9
01596,pulmonary_respiratory,9
016,pulmonary_respiratory,9
0160,pulmonary_respiratory,9
01600,pulmonary_respiratory,9
01601,pulmonary_respiratory,9
01602,pulmonary_respiratory,9
01603,pulmonary_respiratory,9
01604,pulmonary_respiratory,9
01605,pulmonary_respiratory,9
01606,pulmonary_respiratory,9
0161,pulmonary_respiratory,9
01610,pulmonary_respiratory,9
01611,pulmonary_respiratory,9
01612,pulmonary_respiratory,9
01613,pulmonary_respiratory,9
01614,pulmonary_respiratory,9
01615,pulmonary_respiratory,9
01616,pulmonary_respiratory,9
0162,pulmonary_respiratory,9
01620,pulmonary_respiratory,9
01621,pulmonary_respiratory,9
01622,pulmonary_respiratory,9
01623,pulmonary_respiratory,9
01624,pulmonary_respiratory,9
01625,pulmonary_respiratory,9
01626,pulmonary_respiratory,9
0163,pulmonary_respiratory,9
01630,pulmonary_respiratory,9
01631,pulmonary_respiratory,9
01632,pulmonary_respiratory,9
01633,pulmonary_respiratory,9
01634,pulmonary_respiratory,9
01635,pulmonary_respiratory,9
01636,pulmonary_respiratory,9
0164,pulmonary_respiratory,9
01640,pulmonary_respiratory,9
01641,pulmonary_respiratory,9
01642,pulmonary_respiratory,9
01643,pulmonary_respiratory,9
01644,pulmonary_respiratory,9
01645,pulmonary_respiratory,9
01646,pulmonary_respiratory,9
0165,pulmonary_respiratory,9
01650,pulmonary_respiratory,9
01651,pulmonary_respiratory,9
01652,pulmonary_respiratory,9
01653,pulmonary_respiratory,9
01654,pulmonary_respiratory,9
01655,pulmonary_respiratory,9
01656,pulmonary_respiratory,9
0166,pulmonary_respiratory,9
01660,pulmonary_respiratory,9
01661,pulmonary_respiratory,9
01662,pulmonary_respiratory,9
01663,pulmonary_respiratory,9
01664,pulmonary_respiratory,9
01665,pulmonary_respiratory,9
01666,pulmonary_respiratory,9
0167,pulmonary_respiratory,9
01670,pulmonary_respiratory,9
01671,pulmonary_respiratory,9
01672,pulmonary_respiratory,9
01673,pulmonary_respiratory,9
01674,pulmonary_respiratory,9
01675,pulmonary_respiratory,9
01676,pulmonary_respiratory,9
0169,pulmonary_respiratory,9
01690,pulmonary_respiratory,9
01691,pulmonary_respiratory,9
01692,pulmonary_respiratory,9
01693,pulmonary_respiratory,9
01694,pulmonary_respiratory,9
01695,pulmonary_respiratory,9
01696,pulmonary_respiratory,9
017,pulmonary_respiratory,9
0170,pulmonary_respiratory,9
01700,pulmonary_respiratory,9
01701,pulmonary_respiratory,9
01702,pulmonary_respiratory,9
01703,pulmonary_respiratory,9
01704,pulmonary_respiratory,9
01705,pulmonary_respiratory,9
01706,pulmonary_respiratory,9
0171,pulmonary_respiratory,9
01710,pulmonary_respiratory,9
01711,pulmonary_respiratory,9
01712,pulmonary_respiratory,9
01713,pulmonary_respiratory,9
