HHS,STATE,MSA,MSA_POP,MSA_NAME,NRX
9,Nevada,29820,1951269,"Las Vegas-Paradise, NV",1.892812156333374
4,Kentucky,30460,472099,"Lexington-Fayette, KY",2.0712197266785495
7,Nebraska,30700,302157,"Lincoln, NE",1.8932830882352942
6,Arkansas,30780,699759,"Little Rock-North Little Rock-Conway, AR",2.3321101766190138
6,Texas,30980,214378,"Longview, TX",3.503811764705899
9,California,31084,9818605,"Los Angeles-Long Beach-Glendale, CA",1.96023593068713
4,Kentucky,31140,1283565,"Louisville/Jefferson County, KY-IN",2.2135856019358884
4,Georgia,31420,232293,"Macon, GA",1.7118374999999872
1,New Hampshire,31700,400721,"Manchester-Nashua, NH",1.9776730356375993
6,Texas,32580,774769,"McAllen-Edinburg-Mission, TX",4.375693297717367
4,Tennessee,32820,1316100,"Memphis, TN-MS-AR",2.2073361193887737
4,Florida,33124,2496435,"Miami-Miami Beach-Kendall, FL",4.9850296847501125
5,Wisconsin,33340,1555908,"Milwaukee-Waukesha-West Allis, WI",1.6528672775237778
5,Minnesota,33460,3279833,"Minneapolis-St. Paul-Bloomington, MN-WI",1.6340019234957073
5,Michigan,33780,152021,"Monroe, MI",2.4502037095451565
3,Pennsylvania,33874,NA,NA,1.5011916977380089
4,South Carolina,34820,269291,"Myrtle Beach-North Myrtle Beach-Conway, SC",2.605261250000019
4,Tennessee,34980,1589934,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.911840852510795
2,New York,35004,2832882,"Nassau-Suffolk, NY",2.158592183181972
2,New Jersey,35084,2147725,"Newark-Union, NJ-PA",1.6671223173218834
1,Connecticut,35300,862477,"New Haven-Milford, CT",1.311450000000007
6,Louisiana,35380,1167764,"New Orleans-Metairie-Kenner, LA",2.8738053521126767
2,New York,35614,NA,NA,1.7450725777812583
5,Michigan,35660,156813,"Niles-Benton Harbor, MI",2.4396773928361606
4,Florida,35840,702281,"North Port-Bradenton-Sarasota, FL",1.8286924010455696
9,California,36084,2559296,"Oakland-Fremont-Hayward, CA",1.2010550511879499
8,Utah,36260,547184,"Ogden-Clearfield, UT",1.379620788121059
6,Oklahoma,36420,1252987,"Oklahoma City, OK",2.3804114727318475
7,Nebraska,36540,865350,"Omaha-Council Bluffs, NE-IA",2.3864757356737023
4,Florida,36740,2134411,"Orlando-Kissimmee-Sanford, FL",1.7633661538461478
9,California,37100,823318,"Oxnard-Thousand Oaks-Ventura, CA",1.7390420214735263
4,Florida,37340,543372,"Palm Bay-Melbourne-Titusville, FL",1.9541639085894376
4,Florida,37860,448991,"Pensacola-Ferry Pass-Brent, FL",2.434304432855284
5,Illinois,37900,379186,"Peoria, IL",1.9348091099828797
3,Pennsylvania,37964,4008994,"Philadelphia, PA",1.5295543513957326
9,Arizona,38060,4192887,"Phoenix-Mesa-Glendale, AZ",1.700317210144905
3,Pennsylvania,38300,2356285,"Pittsburgh, PA",1.5141523763840559
1,Maine,38860,514100,"Portland-South Portland-Biddeford, ME",1.412630307963643
10,Oregon,38900,2226009,"Portland-Vancouver-Hillsboro, OR-WA",0.7593939281871885
4,Florida,38940,424107,"Port St. Lucie, FL",2.080764367816098
1,Massachusetts,39300,1600852,"Providence-New Bedford-Fall River, RI-MA",1.5480145019448455
8,Utah,39340,526810,"Provo-Orem, UT",1.7455318181818187
5,Wisconsin,39540,195408,"Racine, WI",1.9188927068723733
4,North Carolina,39580,1130490,"Raleigh-Cary, NC",1.577041431628093
3,Virginia,40060,1258251,"Richmond, VA",2.44568080357144
9,California,40140,4224851,"Riverside-San Bernardino-Ontario, CA",1.6832284688995285
2,New York,40380,1054323,"Rochester, NY",1.14356623289957
