NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
29865,0.2282726139426023,195,124759,0.23938152758518425,0.2366742047235182,0.24211209503835324,0.011309656551099799,0.011406759246271898,0.22569092907888966,0.23087646469236273,All conditions
31178,0.23816678803264185,200,124759,0.24990581841790974,0.24713945718560998,0.2526954232758859,0.011069615144668851,0.011162624686517677,0.23553037334887858,0.24082535450024364,All conditions
32547,0.24861268006617515,205,124759,0.2608789746631506,0.25805236635350487,0.2637288256543213,0.010834941042280045,0.010924034774555898,0.24591897633529491,0.25132853362861357,All conditions
33875,0.25873784379649384,210,124759,0.2715234973027998,0.26863964549638125,0.27443059093008565,0.01062100273112827,0.010706600556355922,0.25598978845088505,0.2615080465388357,All conditions
35089,0.2680263515228694,215,124759,0.2812542582098285,0.27831905094643,0.28421270655043585,0.010436134485859843,0.010518768175947704,0.2652291924726224,0.27084565857958354,All conditions
36420,0.2785532385081456,220,124759,0.29192282721086255,0.28893232584888023,0.2949365688778224,0.010244150450838858,0.010323761576832565,0.27569969722429977,0.28142895572895826,All conditions
37763,0.28929172117360114,225,124759,0.30268758165743553,0.2996423025892303,0.30575610029316147,0.010060799493425216,0.010137576899995554,0.2863812151717657,0.2922244382435306,All conditions
39087,0.29945936379267873,230,124759,0.31330004248190513,0.3102017062096682,0.31642161763215026,0.009889357970373979,0.009963532483164046,0.2964979029465525,0.3024430368912147,All conditions
40385,0.3091570350495529,235,124759,0.32370410150770684,0.3205546153968853,0.3268768258537369,0.009729521795220656,0.009801310305468948,0.3061490849388925,0.31218717908319227,All conditions
41699,0.31937756657135125,240,124759,0.33423640779422725,0.33103597192194306,0.3374600812817983,0.00957536581189725,0.009644890300387853,0.316319409539317,0.32245792816533675,All conditions
42974,0.3290438240634556,245,124759,0.34445611138274596,0.34120699981939934,0.34772845998723195,0.009432585040525916,0.009500045133035522,0.32594009021091724,0.33216975524280506,All conditions
44217,0.33862313818800704,250,124759,0.35441932044982727,0.35112344523532873,0.3577384321697961,0.00929936666634151,0.0093649288525135925,0.33547415746428955,0.3417943197849526,All conditions
45488,0.3485129635693827,255,124759,0.36460696222316624,0.3612639447725417,0.3679732156543798,0.009168825055453465,0.009232553900474222,0.34531750917685744,0.3517306282905511,All conditions
46750,0.3582908878943514,260,124759,0.374722464912351,0.3713332863127034,0.3781348789927379,0.00904450337782749,0.009106510550908846,0.3550503247485461,0.36155366764525576,All conditions
47897,0.36706748778562814,265,124759,0.3839161904151204,0.380485594687956,0.3873700211859606,0.00893579331326177,0.008996314448488517,0.3637874485827575,0.3703697423295644,All conditions
49054,0.37592826698779475,270,124759,0.39319007045583887,0.3897181959408337,0.39668517958926264,0.008830015750347222,0.00888910833727761,0.3726088144692918,0.3792699340800943,All conditions
50373,0.3861133126989241,275,124759,0.40376245401133387,0.4002441104077991,0.40730403176646524,0.008713894936441997,0.008771439047752443,0.38274876185850415,0.38950008208678855,All conditions
51786,0.3972723816427794,280,124759,0.415088290223551,0.4115208359133824,0.4186789782051389,0.00859444699884761,0.008650419841171847,0.39385804521464457,0.4007089545352917,All conditions
52877,0.4057850058429429,285,124759,0.42383315031380503,0.42022823356937505,0.4274613003721398,0.008505509165011997,0.008560326287947284,0.40233359775672134,0.4092586578957151,All conditions
53998,0.41474626381144764,290,124759,0.4328184740179065,0.42917546512747645,0.43648471586623655,0.008416944074987307,0.008470622370380505,0.41125536770363674,0.4182594227917206,All conditions
55009,0.42265272173048596,295,124759,0.4409220978045672,0.4372450723428519,0.4446223559124852,0.008339399363343023,0.008392090408583035,0.41912805189197155,0.4261996615826819,All conditions
56047,0.4307435236155121,300,124759,0.44924213884369063,0.4455305120374556,0.45297699798491897,0.008261973856211361,0.008313688361562736,0.4271847318846684,0.4343245910346129,All conditions
57100,0.439195102151033,305,124759,0.45768241168973783,0.4539360093796672,0.4614520460278027,0.008185593796884418,0.008236353947156494,0.4356000294472435,0.44281246846420647,All conditions
58107,0.4472026256893703,310,124759,0.46575397366121885,0.4619746137152235,0.46955656534945844,0.008114498554432859,0.008164378412808853,0.44357380062967533,0.45085375715270004,All conditions
59050,0.45457566490450546,315,124759,0.4733125465898252,0.46950258160426656,0.47714574305669133,0.00804957530285029,0.008098658052663044,0.45091652385901343,0.458257117773629,All conditions
59959,0.4618301583389841,320,124759,0.48059859408940436,0.4767593580071852,0.4844610614072494,0.007988446344695178,0.008036784471172507,0.4581408528987311,0.465541787783842,All conditions
60881,0.4691137318891538,325,124759,0.4879888424883175,0.4841201424838395,0.4918807734848665,0.007927845203900524,0.007975450784291592,0.4653946708397125,0.47285512537007107,All conditions
61780,0.47625121566388723,330,124759,0.4951947354499475,0.49129752058933035,0.4991151810704237,0.00787006521197374,0.007916977584412203,0.4725030875393307,0.48002168586284727,All conditions
62616,0.4827817538912524,335,124759,0.5018956548224978,0.4979721089626533,0.5058424312307637,0.007817453333466418,0.007863738947215508,0.47900763005995844,0.48657822357233205,All conditions
63498,0.4897068776842808,340,124759,0.5089652850696142,0.5050141492288157,0.5129396512403027,0.007763075315162439,0.007808717583056519,0.48590524631046467,0.49353086039059774,All conditions
