NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
2257,0.0895386202245408,100,25207,0.0895386202245408,0.08588237317847582,0.09331050466608247,0.040834301856517555,0.0421257825068413,0.08588237317847582,0.09331050466608247,Yes
2511,0.09961518625778554,105,25207,0.09961518625778554,0.09575661517070193,0.10358935249864448,0.03873476757949683,0.039895184561263015,0.09575661517070193,0.10358935249864448,Yes
2784,0.11044551116753283,110,25207,0.11044551116753283,0.10638059209479894,0.1146259865912465,0.03680474679109308,0.03785102155371779,0.10638059209479894,0.1146259865912465,Yes
3055,0.12119649303764828,115,25207,0.12119649303764828,0.11693652579101967,0.12557198337356437,0.035149261664735636,0.036102450048260896,0.11693652579101967,0.12557198337356437,Yes
3303,0.13103502995199745,120,25207,0.13103502995199745,0.12660402265423099,0.13558153355465832,0.03381544079769885,0.03469685628588333,0.12660402265423099,0.13558153355465832,Yes
3611,0.1432538580553021,125,25207,0.1432538580553021,0.13861913873840476,0.14800404432853312,0.032353190202445724,0.033159220545370835,0.13861913873840476,0.14800404432853312,Yes
3903,0.15483794184155195,130,25207,0.15483794184155195,0.15001797550355683,0.15977335057936892,0.031129103633574896,0.03187467282965732,0.15001797550355683,0.15977335057936892,Yes
4186,0.16606498194945848,135,25207,0.16606498194945848,0.1610719834888403,0.1711734015023786,0.030066534208505132,0.0307615699164973,0.1610719834888403,0.1711734015023786,Yes
4516,0.17915658348871344,140,25207,0.17915658348871344,0.17396904763065632,0.18445951816476705,0.02895531806334052,0.029599440739433876,0.17396904763065632,0.18445951816476705,Yes
4828,0.1915340976712818,145,25207,0.1915340976712818,0.18616907392331036,0.19701450131145,0.028010802322932033,0.02861320102686833,0.18616907392331036,0.19701450131145,Yes
5167,0.20498274288888008,150,25207,0.20498274288888008,0.19943125717894922,0.2106495899003096,0.027082697946628057,0.027645483378576363,0.19943125717894922,0.2106495899003096,Yes
5500,0.21819335898758282,155,25207,0.21819335898758282,0.212464578880367,0.22403748383246183,0.02625552002956174,0.02678415544815729,0.212464578880367,0.22403748383246183,Yes
5861,0.23251477764113143,160,25207,0.23251477764113143,0.22659975780688077,0.23854512587402835,0.025439328606373733,0.025935333203656805,0.22659975780688077,0.23854512587402835,Yes
6178,0.2450906494227794,165,25207,0.2450906494227794,0.23901676763383092,0.2512798464587465,0.024782184890583356,0.02525268528417341,0.23901676763383092,0.2512798464587465,Yes
6513,0.258380608561114,170,25207,0.258380608561114,0.2521432136544188,0.2647333058723065,0.024140336774614853,0.02458658699880682,0.2521432136544188,0.2647333058723065,Yes
6866,0.2723846550561352,175,25207,0.2723846550561352,0.2659794499883921,0.2789051500249316,0.023515293350218364,0.02393855471576629,0.2659794499883921,0.2789051500249316,Yes
7184,0.2850001983575991,180,25207,0.2850001983575991,0.27844747900494793,0.291668197145067,0.022991981726375007,0.023396470689824995,0.27844747900494793,0.291668197145067,Yes
7568,0.30023406196691393,185,25207,0.30023406196691393,0.2935074986500075,0.3070758929692875,0.022404397665071334,0.02278832374165308,0.2935074986500075,0.3070758929692875,Yes
7908,0.3137223787043282,190,25207,0.3137223787043282,0.3068455383669559,0.3207144770459117,0.02192014597675055,0.022287534508889265,0.3068455383669559,0.3207144770459117,Yes
8241,0.3269329948030309,195,25207,0.3269329948030309,0.3199120720063551,0.334069166708196,0.02147511235721483,0.021827628347712187,0.3199120720063551,0.334069166708196,Yes
8574,0.3401436109017337,200,25207,0.3401436109017337,0.33298148848868736,0.3474209740504174,0.02105617210936067,0.021394972345331272,0.33298148848868736,0.3474209740504174,Yes
8905,0.35327488396080453,205,25207,0.35327488396080453,0.34597510228850253,0.360689898515578,0.020663177609625653,0.020989362367453596,0.34597510228850253,0.360689898515578,Yes
9228,0.36608878486134805,210,25207,0.36608878486134805,0.3586571164839329,0.3736356788684807,0.020300180406318147,0.02061492817921465,0.3586571164839329,0.3736356788684807,Yes
9519,0.377633197127782,215,25207,0.377633197127782,0.37008467137048445,0.38529694229893585,0.019989041786342983,0.020294151121890487,0.37008467137048445,0.38529694229893585,Yes
9835,0.390169397389614,220,25207,0.390169397389614,0.382495980378515,0.3979580273793347,0.01966688587684512,0.01996217551102092,0.382495980378515,0.3979580273793347,Yes
10154,0.4028246122108938,225,25207,0.4028246122108938,0.3950271372240227,0.4107372939868995,0.01935699743884762,0.019642994832359328,0.3950271372240227,0.4107372939868995,Yes
10454,0.41472606815567103,230,25207,0.41472606815567103,0.40681369041472965,0.4227536471250986,0.01907856377615359,0.019356340451727648,0.40681369041472965,0.4227536471250986,Yes
10739,0.42603245130320944,235,25207,0.42603245130320944,0.41801243349532335,0.43416766527407513,0.018824898862406597,0.0190952917928682,0.41801243349532335,0.43416766527407513,Yes
11031,0.4376165350894593,240,25207,0.4376165350894593,0.429487704776154,0.4458605565805986,0.01857523576352885,0.018838459770387814,0.429487704776154,0.4458605565805986,Yes
11341,0.44991470623239577,245,25207,0.44991470623239577,0.44167192048877696,0.45827267807334654,0.01832077420328007,0.018576791834480747,0.44167192048877696,0.45827267807334654,Yes
11620,0.4609830602610386,250,25207,0.4609830602610386,0.45263903920066123,0.4694422630210703,0.018100493878565563,0.018350354902936242,0.45263903920066123,0.4694422630210703,Yes
11919,0.4728448446859999,255,25207,0.4728448446859999,0.46439367142634486,0.48141119510471503,0.017873036694028437,0.01811662010273949,0.46439367142634486,0.48141119510471503,Yes
12201,0.4840322132740905,260,25207,0.4840322132740905,0.47548120498596386,0.4926983945925714,0.017666196698533622,0.017904141668301624,0.47548120498596386,0.4926983945925714,Yes
12442,0.49359304954972827,265,25207,0.49359304954972827,0.48495763193248786,0.5023436367806101,0.017495014618050062,0.017728343701080104,0.48495763193248786,0.5023436367806101,Yes
12710,0.5042250168603959,270,25207,0.5042250168603959,0.4954966877080196,0.5130685119415275,0.01731038496805269,0.017538786822193845,0.4954966877080196,0.5130685119415275,Yes
13000,0.5157297576070139,275,25207,0.5157297576070139,0.5069019867083948,0.5246726905759743,0.017117047772422397,0.01734034702681427,0.5069019867083948,0.5246726905759743,Yes
13285,0.5270361407545523,280,25207,0.5270361407545523,0.5181117175849493,0.5360757223262689,0.01693322806444725,0.017151729972018057,0.5181117175849493,0.5360757223262689,Yes
13517,0.5362399333518467,285,25207,0.5362399333518467,0.527237594799781,0.5453574274059486,0.016787892866902368,0.01700263909312321,0.527237594799781,0.5453574274059486,Yes
