NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
2948,0.11695164041734439,100,25207,0.11695164041734439,0.11276760804843443,0.12125120846043476,0.03577574759942789,0.03676364031959936,0.11276760804843443,0.12125120846043476,Yes
3306,0.13115404451144524,105,25207,0.13115404451144524,0.12672100823869936,0.13570257678362124,0.03380022544679536,0.03468083877336369,0.12672100823869936,0.13570257678362124,Yes
3698,0.1467052802792875,110,25207,0.1467052802792875,0.14201460837370175,0.15151141152176573,0.03197343610711197,0.03276045165742254,0.14201460837370175,0.15151141152176573,Yes
4128,0.16376403380013488,115,25207,0.16376403380013488,0.1588060094445262,0.16883748343608485,0.03027541665015217,0.030980243452856302,0.1588060094445262,0.16883748343608485,Yes
4515,0.17911691196889754,120,25207,0.17911691196889754,0.1739299546760954,0.18441926814348736,0.02895850110291549,0.02960276679798132,0.1739299546760954,0.18441926814348736,Yes
5006,0.19859562819851628,125,25207,0.19859562819851628,0.19313191010256753,0.20417471618994698,0.02751177427978032,0.028092702956450978,0.19313191010256753,0.20417471618994698,Yes
5474,0.21716189947236877,130,25207,0.21716189947236877,0.21144676550997185,0.2229923794111343,0.026317387977738263,0.02684853997377839,0.21144676550997185,0.2229923794111343,Yes
5972,0.23691831634069901,135,25207,0.23691831634069901,0.23094719188596502,0.24300476447009542,0.0252033044424782,0.025690069992916138,0.23094719188596502,0.24300476447009542,Yes
6578,0.26095925734914904,140,25207,0.26095925734914904,0.25469062712103696,0.26734318760412057,0.02402149014290381,0.024463321668754524,0.25469062712103696,0.26734318760412057,Yes
7162,0.2841274249216488,145,25207,0.2841274249216488,0.2775848044810243,0.2907853254986774,0.023027064150631285,0.023432798079469554,0.2775848044810243,0.2907853254986774,Yes
7772,0.3083270520093625,150,25207,0.3083270520093625,0.3015099271222872,0.3152594386969412,0.022110044651120344,0.02248387432241323,0.3015099271222872,0.3152594386969412,Yes
8414,0.33379616773118576,155,25207,0.33379616773118576,0.3267015400771943,0.34100604008182384,0.021254371199686494,0.02159962590236916,0.3267015400771943,0.34100604008182384,Yes
9112,0.36148688856270084,160,25207,0.36148688856270084,0.35410231537468867,0.36898668994076217,0.020428329274607405,0.020747091015890257,0.35410231537468867,0.36898668994076217,Yes
9803,0.3888999087555044,165,25207,0.3888999087555044,0.3812390467605576,0.39667598436656576,0.019698801214589848,0.019995056403960394,0.3812390467605576,0.39667598436656576,Yes
10522,0.41742373150315387,170,25207,0.41742373150315387,0.4094855392642927,0.425477123743234,0.01901710813200659,0.019293086694136045,0.4094855392642927,0.425477123743234,Yes
11308,0.44860554607847025,175,25207,0.44860554607847025,0.4403748163784686,0.45695146240668627,0.018347365011314277,0.018604130959085707,0.4403748163784686,0.45695146240668627,Yes
11985,0.47546316499385094,180,25207,0.47546316499385094,0.4669885211361447,0.48405298503128785,0.017823975612949624,0.01806621557644324,0.4669885211361447,0.48405298503128785,Yes
12853,0.509898044194073,185,25207,0.509898044194073,0.5011205397756445,0.5187907126223535,0.017214234332477037,0.01744009126831611,0.5011205397756445,0.5187907126223535,Yes
13683,0.5428254056412901,190,25207,0.5428254056412901,0.5337677269340653,0.5519982378208842,0.016686173147191168,0.016898310366953738,0.5337677269340653,0.5519982378208842,Yes
14497,0.5751180227714524,195,25207,0.5751180227714524,0.5657937111006036,0.5845574784714984,0.01621286640595196,0.016413075797134555,0.5657937111006036,0.5845574784714984,Yes
15386,0.610386003887809,200,25207,0.610386003887809,0.6007789099373664,0.6201082324221757,0.015739374574860642,0.01592800043323692,0.6007789099373664,0.6201082324221757,Yes
16265,0.6452572698060063,205,25207,0.6452572698060063,0.6353784997995305,0.6552511658288934,0.01530981589629475,0.01548823467869143,0.6353784997995305,0.6552511658288934,Yes
