NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
4866,0.03782175332459068,70,124759,0.03900319816606417,0.037914931547384186,0.040114776337340646,0.027901984192333838,0.028499667297632886,0.0367664513612016,0.03889966071095466,All conditions
5506,0.04267452169064895,75,124759,0.04413308859481079,0.04297497876507209,0.04531450325729192,0.026241304803554365,0.026769362854428522,0.041554686559618734,0.04381689144642511,All conditions
6149,0.04747661342420836,80,124759,0.04928702538494217,0.04806272623175757,0.05053462370445086,0.02484019158434817,0.02531291571695967,0.046297285250974984,0.04867838493834202,All conditions
6955,0.0536553374951449,85,124759,0.055747481143644945,0.05444492813425348,0.05707332735737803,0.023365235211886378,0.023783069414683826,0.052401667914197696,0.05493142611126022,All conditions
7812,0.05998983802236722,90,124759,0.06261672504588847,0.06123579585778622,0.06402094213948278,0.022053679541532114,0.022425591446458372,0.05866684135887352,0.06133514562079605,All conditions
8757,0.06720898172007131,95,124759,0.07019132888208465,0.06872881170292995,0.07167712904999056,0.020836151736229463,0.02116785921523045,0.06580860517891443,0.06863165198312078,All conditions
9940,0.07606750552397505,100,124759,0.079673610721471,0.07811493636720412,0.08125556292639735,0.01956324484547094,0.019855409973280346,0.07457937828862532,0.07757785703179834,All conditions
11183,0.08573048128892732,105,124759,0.08963681978855233,0.0879830966965433,0.09131381623608781,0.018449149533752436,0.018708790109816603,0.08414882682002733,0.08733439486937543,All conditions
12435,0.09510716304563176,110,124759,0.0996721679397879,0.09792791330988433,0.10143969209667784,0.01749991663627986,0.01773337726493219,0.09344279562082013,0.09679373424851737,All conditions
13820,0.10574435326348613,115,124759,0.1107735714457474,0.10893433092906882,0.11263607787550402,0.016603604024623957,0.01681363528726527,0.10398861589405926,0.10752230025294612,All conditions
15257,0.11684211168303159,120,124759,0.12229177854904255,0.1203588943472907,0.12424792544695835,0.015805512232179242,0.01599573512729093,0.11499536225759178,0.1187110871532267,All conditions
16895,0.1289901689965168,125,124759,0.13542109186511594,0.13338669633682623,0.13747874693528253,0.015022737597744668,0.015194494755780594,0.1270523835349934,0.13095010944288163,All conditions
18458,0.14073272246925592,130,124759,0.1479492461465706,0.145822483927799,0.15009926529752113,0.01437494461218575,0.014532139953052201,0.13870969737863825,0.1427778700881532,All conditions
20093,0.15291297147141794,135,124759,0.16105451310125923,0.15883522551445722,0.163297055222886,0.013779729261027818,0.013924118476685175,0.15080587212404253,0.15504214980280795,All conditions
21926,0.16684765771796425,140,124759,0.17574683990734136,0.17342819359720593,0.17808873839004108,0.013193103849593426,0.013325408775113321,0.16464641924262974,0.16907097096022633,All conditions
23726,0.18041169406898255,145,124759,0.19017465673819123,0.1877624073962903,0.19261015620452993,0.012684389094083202,0.012806645786097512,0.17812328194428886,0.1827221627305938,All conditions
25699,0.19549654281174858,150,124759,0.20598914707556168,0.20347829180008803,0.20852325048239867,0.012189260022289471,0.012302120974885252,0.19311358461795752,0.19790156493159056,All conditions
27819,0.21096125691411885,155,124759,0.22298190912078486,0.22036923368290573,0.22561783078927053,0.01171698389425797,0.011821235538250966,0.2084894272645437,0.2134550796215461,All conditions
30015,0.2275353891832378,160,124759,0.24058384565442173,0.23786971332482576,0.2433212224619866,0.0112814404567071,0.011378057409128256,0.2249684622383734,0.230124299903973,All conditions
32350,0.2450427840967706,165,124759,0.259299930265552,0.2564819124232875,0.26214119092150634,0.010867792518796757,0.010957429309929207,0.2423797099609786,0.24772782308141922,All conditions
34749,0.2630909248446156,170,124759,0.27852900391955693,0.2756080887744351,0.2814731603462289,0.010486933511475267,0.010570376460766235,0.26033190780829757,0.26587189496363434,All conditions
37298,0.2818222902601246,175,124759,0.2989603956427993,0.2959339708602469,0.3020100602436992,0.010123162889335966,0.010200898330839986,0.27896935730997563,0.28469713079043263,All conditions
