BIRTH_YEAR,NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr
2008,20,6.075956787496504e-4,5,124759,1.6030907589833197e-4,9.7920948271499e-5,2.4758436587881116e-4,0.3891740207298028,0.5444188951337302,3.711352254725953e-4,9.38382246862564e-4
2008,32,0.0011009241653331943,10,124759,2.5649452143733115e-4,1.754420627873305e-4,3.6209373335326886e-4,0.31600074027235725,0.4117016274818898,7.530313141041779e-4,0.0015541764359350116
2008,57,0.0021420483364594273,15,124759,4.5688086631024614e-4,3.4603710644462324e-4,5.919421556998917e-4,0.24260976556272365,0.295615989525663,0.0016223664917269834,0.0027752720750536812
2008,101,0.004289241231546173,20,124759,8.095608332865765e-4,6.594005946908755e-4,9.836897995802348e-4,0.18548357630654516,0.2150906505527773,0.0034936574282774984,0.005211816918417235
2008,155,0.007157393304961681,25,124759,0.0012423953382120728,0.001054506305435109,0.001454106777711872,0.15123127638852402,0.170405854713261,0.0060749715798376494,0.008377055028612648
2008,214,0.009184462911502819,30,124759,0.0017153071121121521,0.0014931730534007066,0.001961171797552647,0.12950104219991232,0.14333566491061075,0.007995065392416763,0.01050092400976992
2008,300,0.012286095436276059,35,124759,0.0024046361384749797,0.0021402005084440105,0.0026927205696789065,0.10996908255677894,0.11980375184190235,0.010935004792943752,0.013758015765029604
2008,375,0.015596932817917677,40,124759,0.0030057951730937246,0.0027092338599650472,0.0033259582061566217,0.09866318097232177,0.10651525291171728,0.01405808981269032,0.01725824406166524
2008,449,0.018526631688724135,45,124759,0.003598938753917553,0.003273705469467351,0.003947739349221955,0.0903692190082912,0.0969176246538572,0.016852394452159875,0.02032218882483216
2008,557,0.023087128286477014,50,124759,0.004464607763768546,0.0041014876942290805,0.004851257778996407,0.0813330282866681,0.08660335592425984,0.021209382228495045,0.02508655107473983
2008,661,0.027037483543897244,55,124759,0.0052982149584398725,0.004901956721430614,0.005717976168380491,0.07479089469143432,0.07922691193794489,0.025015325959444237,0.029179579871653226
2008,767,0.030878438312236262,60,124759,0.006147853060701032,0.005720409188992736,0.006598778252016068,0.06952734027438766,0.073346774371933,0.028731542624559722,0.033143272160081505
2008,910,0.036857158048433356,65,124759,0.007294062953374105,0.006827788772634603,0.007783795453984507,0.06392516540096645,0.0671412494985199,0.03450105812397769,0.0393317936927696
2008,1044,0.04225089333049244,70,124759,0.008368133761892929,0.007868162091040564,0.008891546630628617,0.0597470935669255,0.06254833916723732,0.039726525253389315,0.04489361653664684
2008,1183,0.047440352041863476,75,124759,0.009482281839386337,0.008949571489833632,0.010038418787733103,0.056179552408999085,0.058650117953334066,0.044775174298026243,0.05022273428486646
2008,1338,0.053617316992978704,80,124759,0.01072467717759841,0.010157655179456597,0.011315112251494378,0.05287077538578062,0.05505387846351797,0.05078252786945473,0.05656915824625007
2008,1508,0.0606651618953037,85,124759,0.012087304322734232,0.011484865233645121,0.012713144117793434,0.04984064875044322,0.051776622673601454,0.0576415708698911,0.06380619909218979
2008,1681,0.06713704273221402,90,124759,0.013473977829254804,0.012837492948372255,0.01413385280269421,0.04723808283999162,0.048974028442193306,0.06396561754599764,0.07042501417250621
2008,1881,0.07548886765590374,95,124759,0.015077068588238124,0.014403341397192222,0.015774175472288748,0.04468555588925874,0.04623623484703444,0.072115605641249,0.0789791886691788
2008,2133,0.08553968013793614,100,124759,0.017096962944557106,0.01637902722844794,0.017838267390037025,0.04199200281578232,0.04335883793419088,0.08194769764872281,0.08924858126597944
2008,2394,0.09623920711806051,105,124759,0.019188996385030337,0.018427949110858776,0.019973402907711848,0.03966060855403919,0.04087793373568195,0.09242230159700002,0.10017326704940716
2008,2637,0.10741764873965627,110,124759,0.02113675165719507,0.02033763445956356,0.02195922057117156,0.037807001311835266,0.03891179341630363,0.10335650955284183,0.11159746209667884
2008,2904,0.11946808311628224,115,124759,0.023276877820437802,0.02243790238330504,0.02413919781177221,0.03604329771392781,0.03704620516490679,0.1151620594292098,0.12389392223406616
2008,3195,0.13136340562749707,120,124759,0.025609374874758534,0.024728993664572253,0.02651309387797733,0.03437730184714562,0.0352886006643424,0.12684748618057157,0.13599903639059385
2008,3535,0.14518110466428216,125,124759,0.028334629165030177,0.0274081923530233,0.029284396952022104,0.0326962744636962,0.03351968298085597,0.1404342234192362,0.15004752926743936
2008,3852,0.15883367108492544,130,124759,0.03087552801801874,0.029908108875540323,0.03186627260874375,0.03133287767301781,0.032088344858323424,0.15385695509846511,0.16393038069781204
2008,4229,0.1745577641128439,135,124759,0.0338973540987023,0.03288333370509546,0.03493469419358592,0.02991444083376581,0.030602391321254547,0.1693359662062158,0.1798996491183884
2008,4599,0.18995997059829775,140,124759,0.03686307200282144,0.035805295798986385,0.0379441629685061,0.028694738294033004,0.02932720760770866,0.1845091189556374,0.19553096609318826
2008,4952,0.20438981965178174,145,124759,0.039692527192426996,0.03859461873232395,0.04081374622704206,0.027660331497172074,0.028247610165496838,0.19873632948556624,0.21016334359910147
2008,5383,0.22233851448596345,150,124759,0.043147187778036056,0.04200217236540691,0.044315509221363604,0.026537428546200916,0.027077580335891062,0.21643822204472374,0.22835890347371982
2008,5797,0.23891739336574094,155,124759,0.04646558564913152,0.04527706696930806,0.04767740648069675,0.02557847196413579,0.026079964658486523,0.23280625151779094,0.2451483505410172
2008,6257,0.25769840039785896,160,124759,0.05015269439479316,0.04891762366511038,0.051411063425656364,0.0246262089123373,0.025090756260422304,0.2513522657532861,0.26416424815094236
